protein,ligand_name,pocket,replica,time_ns,mean,std,n_features,rmsd_20ns,ligand_drift,label_unstable,slope,rmsd_var,mean_disp,var_disp
AFR1,Milbemycin,pocket10,replica_1,1.0,0.5172749637820314,0.654152575149357,4,,5.0966167,0,1.5628986135740974,0.48656599016845586,1.4764835834503174,0.09497655928134918
AFR1,Milbemycin,pocket10,replica_1,2.0,0.2770668257708796,0.34662360003486753,4,,5.0966167,0,0.6211516913454963,0.3378137257562978,0.936209499835968,0.044292863458395004
AFR1,Milbemycin,pocket10,replica_1,3.0,0.36702151933921295,0.5953909573444881,4,,5.0966167,0,0.3319705264110163,0.25652144366405905,1.7924684286117554,0.18819023668766022
AFR1,Milbemycin,pocket10,replica_1,4.0,0.16853049897214945,0.25048902921551364,4,,5.0966167,0,0.20019524497844138,0.20527532143762578,0.7449544072151184,0.02928851917386055
AFR1,Milbemycin,pocket10,replica_1,5.0,0.2616702319562266,0.46429364230999787,4,,5.0966167,0,0.18090275613535617,0.19626759895204368,1.3827056884765625,0.07181558012962341
AFR1,Milbemycin,pocket10,replica_1,6.0,0.1471949410046846,0.2338277739480867,4,,5.0966167,0,0.14942988402962568,0.1806060558441267,0.6923736929893494,0.007954954169690609
AFR1,Milbemycin,pocket10,replica_1,7.0,0.28084950030834255,0.5474457802612073,4,,5.0966167,0,0.12866089684593984,0.16897166618811202,1.6130255460739136,0.055288393050432205
AFR1,Milbemycin,pocket10,replica_1,8.0,0.13999968000450488,0.23168358215358423,4,,5.0966167,0,0.11918865178735677,0.16649089474409487,0.6862581372261047,0.008060076273977757
AFR1,Milbemycin,pocket10,replica_1,10.0,0.13201873982613074,0.22745714937562378,4,,5.0966167,0,0.09214763299445955,0.1512744119324571,0.6728469133377075,0.007862220518290997
AFR1,Milbemycin,pocket10,replica_1,12.0,0.13519800542935195,0.23228267069891573,4,,5.0966167,0,0.08747552504297307,0.16332204718247081,0.6864596009254456,0.009128864854574203
AFR1,Milbemycin,pocket10,replica_1,14.0,0.1378125909518308,0.23451282903407036,4,,5.0966167,0,0.08309126011540795,0.1775182227200979,0.6923625469207764,0.011716106906533241
AFR1,Milbemycin,pocket10,replica_1,16.0,0.13959912733571528,0.23805721656202167,4,,5.0966167,0,0.07586314211165165,0.18296782552681692,0.7025901079177856,0.01577281579375267
AFR1,Milbemycin,pocket10,replica_1,18.0,0.14509540364977797,0.24115116677009804,4,,5.0966167,0,0.07635422121959679,0.2147779639997265,0.7086855173110962,0.015850123018026352
AFR1,Milbemycin,pocket11,replica_1,1.0,0.11526402699680784,0.19192084535628465,4,0.308557339517165,4.8394513,0,0.23690866353861292,0.021350633459734984,0.5424169898033142,0.006171902175992727
AFR1,Milbemycin,pocket11,replica_1,2.0,0.07601773493123105,0.15829363903559168,4,0.308557339517165,4.8394513,0,0.05021806624944087,0.015203578376613886,0.46159496903419495,0.0051075308583676815
AFR1,Milbemycin,pocket11,replica_1,3.0,0.09407156736411582,0.2113043725397143,4,0.308557339517165,4.8394513,0,0.028891652645100928,0.012042410659666178,0.6111233234405518,0.006443584803491831
AFR1,Milbemycin,pocket11,replica_1,4.0,0.07165126255858723,0.16286193338047733,4,0.308557339517165,4.8394513,0,0.0156821582042577,0.01142255664470256,0.4703317880630493,0.004122334998100996
AFR1,Milbemycin,pocket11,replica_1,5.0,0.08852537868341954,0.2060960809404819,4,0.308557339517165,4.8394513,0,0.010861670570594246,0.010167366428880331,0.5932417511940002,0.005406862590461969
AFR1,Milbemycin,pocket11,replica_1,6.0,0.07134975268669631,0.16303395682124575,4,0.308557339517165,4.8394513,0,0.014384327188577576,0.010320996334645253,0.4704939126968384,0.004249032586812973
AFR1,Milbemycin,pocket11,replica_1,7.0,0.08832432530224478,0.2046960021500668,4,0.308557339517165,4.8394513,0,0.011364200293034341,0.009775201719503523,0.5896016359329224,0.007529239170253277
AFR1,Milbemycin,pocket11,replica_1,8.0,0.07249180476456371,0.16342960388447603,4,0.308557339517165,4.8394513,0,0.01775232312677246,0.012488858212068361,0.47250065207481384,0.004700799938291311
AFR1,Milbemycin,pocket11,replica_1,10.0,0.0755948499412092,0.1625484561397542,4,0.308557339517165,4.8394513,0,0.029301316672414344,0.02184622009910824,0.47285687923431396,0.005159533582627773
AFR1,Milbemycin,pocket11,replica_1,12.0,0.07435883062037447,0.164121892708314,4,0.308557339517165,4.8394513,0,0.019963367259509427,0.020169438395079245,0.47584739327430725,0.004531615413725376
AFR1,Milbemycin,pocket11,replica_1,14.0,0.07476849254112042,0.1645836479154615,4,0.308557339517165,4.8394513,0,0.019719086394228817,0.021851785592062776,0.47734734416007996,0.004461231641471386
AFR1,Milbemycin,pocket11,replica_1,16.0,0.07495007496303181,0.1644487781043384,4,0.308557339517165,4.8394513,0,0.019737227667642847,0.023491783124990256,0.4771443009376526,0.0042772130109369755
AFR1,Milbemycin,pocket11,replica_1,18.0,0.07687919825893809,0.16431189450418895,4,0.308557339517165,4.8394513,0,0.022926087316510864,0.032262808783962454,0.47830265760421753,0.004662834107875824
AFR1,Milbemycin,pocket2,replica_1,1.0,0.44528661691376686,0.5800684386368266,4,,1.9622904,0,1.558561830703162,0.35176041239728106,1.0841867923736572,0.12249728292226791
AFR1,Milbemycin,pocket2,replica_1,2.0,0.20666655204812961,0.2573866514811529,4,,1.9622904,0,0.5654243073125902,0.24872680364538943,0.6171772480010986,0.015337505377829075
